encounter_time,male,female
-1.5669748920055397,"sex: -1, alleles: 0.95","sex: 1, alleles: -0.93"
-1.5635842886046403,"sex: -1, alleles: -0.76","sex: 1, alleles: -1.17"
-1.5631221094224956,"sex: -1, alleles: 0.06","sex: 1, alleles: -0.02"
-1.5577913182319651,"sex: -1, alleles: -0.19","sex: 1, alleles: -1.59"
-1.5550336936256353,"sex: -1, alleles: -0.34","sex: 1, alleles: 0.26"
-1.5534699831911218,"sex: -1, alleles: 1.37","sex: 1, alleles: 0.23"
-1.5403803474054427,"sex: -1, alleles: -0.02","sex: 1, alleles: -0.7"
-1.5375881749995997,"sex: -1, alleles: -0.09","sex: 1, alleles: -0.41"
-1.5167037580152705,"sex: -1, alleles: 0.15","sex: 1, alleles: -0.8"
-1.5162965733189704,"sex: -1, alleles: 1.42","sex: 1, alleles: 0.96"
-1.5158907272880329,"sex: -1, alleles: -0.66","sex: 1, alleles: -0.81"
-1.5145610762099093,"sex: -1, alleles: -0.07","sex: 1, alleles: 0.0"
-1.5098628957632163,"sex: -1, alleles: 0.54","sex: 1, alleles: -0.38"
-1.5091594818519583,"sex: -1, alleles: -0.24","sex: 1, alleles: -0.71"
-1.5054865929067611,"sex: -1, alleles: -0.93","sex: 1, alleles: 0.24"
-1.502138353675775,"sex: -1, alleles: -0.91","sex: 1, alleles: -0.42"
-1.4968469143958119,"sex: -1, alleles: -1.95","sex: 1, alleles: -0.48"
-1.4871722001384362,"sex: -1, alleles: 1.29","sex: 1, alleles: -2.03"
-1.4868878690938416,"sex: -1, alleles: -0.86","sex: 1, alleles: 0.91"
-1.4802292577872889,"sex: -1, alleles: -1.29","sex: 1, alleles: -0.02"
-1.4684376928268497,"sex: -1, alleles: -0.02","sex: 1, alleles: -1.05"
-1.4642600760775277,"sex: -1, alleles: -0.41","sex: 1, alleles: -0.13"
-1.457409116460184,"sex: -1, alleles: -1.32","sex: 1, alleles: -1.0"
-1.4551739573170726,"sex: -1, alleles: 0.76","sex: 1, alleles: -0.6"
-1.4513446458937709,"sex: -1, alleles: 0.99","sex: 1, alleles: -0.48"
-1.4455471587588633,"sex: -1, alleles: -1.06","sex: 1, alleles: 0.53"
-1.4428024384103246,"sex: -1, alleles: -1.01","sex: 1, alleles: -1.28"
-1.4425737240338345,"sex: -1, alleles: 0.28","sex: 1, alleles: -0.02"
-1.4407653948971144,"sex: -1, alleles: -0.62","sex: 1, alleles: -0.48"
-1.4377325524904911,"sex: -1, alleles: -1.95","sex: 1, alleles: -1.05"
-1.4321797691233247,"sex: -1, alleles: -0.24","sex: 1, alleles: 0.0"
-1.427397634788893,"sex: -1, alleles: -0.23","sex: 1, alleles: -0.14"
-1.4243264332128245,"sex: -1, alleles: 0.28","sex: 1, alleles: -0.5"
-1.4210523487663158,"sex: -1, alleles: -1.73","sex: 1, alleles: -0.87"
-1.4150456667234868,"sex: -1, alleles: -0.26","sex: 1, alleles: -0.37"
-1.4148599710736984,"sex: -1, alleles: 0.27","sex: 1, alleles: -0.07"
